,Unnamed: 0,param_initialization,optimizer,qaoa_variant,warm_start,backend_mode,depth,lagrangian_multiplier,amount_shots,max_tol,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,ratio
36,36,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DxK,2.909120321273804,50,"[np.float64(0.27400075801955504), np.float64(0.30765490867856227), np.float64(0.4011961551913895), np.float64(0.02262782554496176), np.float64(0.43148632670156317), np.float64(0.3280210721002482), np.float64(1.5271484918495566), np.float64(0.8044820521435937), np.float64(0.6410519701277579), np.float64(0.41416407754706797), np.float64(0.22009282368749267), np.float64(-0.2179896970106347), np.float64(0.3615112101762915), np.float64(0.04269104110368674), np.float64(-0.14965795401339382), np.float64(1.2024849955867556), np.float64(0.12015299869935701), np.float64(0.39119582071181525), np.float64(0.2822067619716513), np.float64(0.24363808068405793), np.float64(1.0424988919197682), np.float64(0.70700947503837), np.float64(0.38738837955601507), np.float64(-0.4980628210756781), np.float64(1.0794635724167996), np.float64(0.5186974303501921), np.float64(1.0233421335993835), np.float64(0.49730438095242524), np.float64(0.4863968926401455), np.float64(0.7552816090774233), np.float64(-0.2862784763060804), np.float64(1.689309530223607), np.float64(-0.11717230360767877), np.float64(0.8144850225799622), np.float64(0.2776062055859896), np.float64(0.43218237240906987), np.float64(0.932981040939165), np.float64(1.7134972598894511), np.float64(1.1117883179586836), np.float64(-0.40009620694712433), np.float64(0.8272317193186073), np.float64(-0.21283533639844512), np.float64(0.17432050636015842), np.float64(0.6309867670845534), np.float64(1.6571037376600628), np.float64(0.5198943085192295), np.float64(1.0206789803793719), np.float64(0.2548276894994316), np.float64(0.13608276427848942), np.float64(0.4824584650783015)]","[0, 1, 0, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[5.76383946 0.18321312 3.63955779 1.74303676 3.78867676 1.67133112
 4.02305169 0.45930701 3.32456057 0.88071985 1.57809539 1.69060299
 5.60662625 2.90379728 1.73862967 1.32238484 3.48406311 0.89008655
 2.22207143 2.04434716]",0.7915199989758728,1.0
37,37,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,1.2601003646850586,50,"[np.float64(-0.8262320226212886), np.float64(0.7635679807635098), np.float64(-0.1695242389943029), np.float64(0.57405962198696), np.float64(-0.017440862614797336), np.float64(0.01967621974451095), np.float64(-0.8344269435239924), np.float64(-0.23873457352117433), np.float64(-0.4327206269811038), np.float64(0.1944274586935565), np.float64(-0.12449543730660165), np.float64(0.2938386682232612), np.float64(0.9335501151461456), np.float64(0.24042599827855238), np.float64(0.05955644595515468), np.float64(-0.4500263517379349), np.float64(-0.7328942741132716), np.float64(-0.4667089026904604), np.float64(0.6359952074313837), np.float64(0.7576781645775391), np.float64(0.1903758803416451), np.float64(0.5947000180503624), np.float64(0.0953864786280929), np.float64(0.2778393550219082), np.float64(0.41178382405062713), np.float64(0.10069052996121039), np.float64(0.4161685139443024), np.float64(-0.14611151126820643), np.float64(0.3889544137134789), np.float64(0.19612540945328777), np.float64(0.4603825873758465), np.float64(0.09722137363521398), np.float64(0.8219138274029594), np.float64(-0.44710179657491356), np.float64(-0.04713944763020014), np.float64(-0.324051678398641), np.float64(-0.8404913485434315), np.float64(0.029813246476376273), np.float64(-0.09741899465297107), np.float64(-0.20270334954031852), np.float64(-0.34676007982176393), np.float64(-0.23653367128103553), np.float64(-0.5735278077603846), np.float64(1.1866555460297739), np.float64(-0.27259579146079294), np.float64(-0.3789333230757551), np.float64(0.040371954697804455), np.float64(0.6868851919641161), np.float64(-0.6405211257756119), np.float64(0.245189558164998)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[6.00874042 0.12459122 0.62327124 2.79162786],0.4640295406563877,1.0
38,38,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.8848831653594971,50,"[np.float64(1.4285527558395383), np.float64(1.5455246386364945), np.float64(0.14082985648338525), np.float64(-0.646723020764321), np.float64(1.3236886966693446), np.float64(0.30405132597656964), np.float64(1.4073714152261032), np.float64(0.687649861068033), np.float64(0.1348924070195539), np.float64(-0.7402524644022881), np.float64(-0.15911941849494718), np.float64(0.7846458492684553), np.float64(1.2674560933720465), np.float64(-0.17298150700922144), np.float64(0.8760046300826545), np.float64(-0.2965072425972855), np.float64(0.08456521303411682), np.float64(1.4668200137295555), np.float64(-0.18843172851872264), np.float64(0.20445991734686225), np.float64(-0.11242953146601792), np.float64(-0.25454611531293597), np.float64(1.66524583702395), np.float64(0.9271547281737039), np.float64(-0.023583970284179856), np.float64(0.2576265220396113), np.float64(-0.6023026419337996), np.float64(0.30913351865732386), np.float64(0.26316641033214216), np.float64(0.6263675668586566), np.float64(-0.6294414809388275), np.float64(0.6496934646683822), np.float64(-0.5063255749330243), np.float64(0.0728406577627722), np.float64(-0.014268458073612753), np.float64(1.4510886283738862), np.float64(0.4688486125675715), np.float64(0.3852024167254177), np.float64(-0.5490049379737807), np.float64(-0.3298091490976241), np.float64(-0.6471170586209849), np.float64(0.26423850864868), np.float64(0.6477184891079011), np.float64(0.8357378770832034), np.float64(0.2692407360776786), np.float64(-0.06072998720660404), np.float64(1.2410579849306829), np.float64(1.7830491190235487), np.float64(1.3616165486521288), np.float64(0.9006825271976604)]","[0, 1, 0, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[3.46231724 2.796645   1.76386208 2.32782449],0.9225782298555094,1.0
39,39,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DxK,3.0675177574157715,50,"[np.float64(-0.13167325484366288), np.float64(0.1270674949333222), np.float64(0.6007343092126881), np.float64(-0.19421089568372113), np.float64(-0.006114858886724306), np.float64(-0.2965208033070901), np.float64(0.014383859910075125), np.float64(0.5971750183851321), np.float64(-0.5303700040651786), np.float64(0.48879943645075963), np.float64(0.4735390629597902), np.float64(0.2289518278829708), np.float64(1.0961643331236661), np.float64(0.2871461680920784), np.float64(0.6341906735154365), np.float64(0.8332333551111877), np.float64(0.4478270409712773), np.float64(-0.050912595415945394), np.float64(0.30844183141104387), np.float64(-0.7318677763284709), np.float64(0.313644976342442), np.float64(0.4956277566238203), np.float64(1.0054014207872273), np.float64(0.3269824449793205), np.float64(-0.1783242642501744), np.float64(0.5042056991054944), np.float64(-0.5791161579794936), np.float64(0.008715378416198245), np.float64(-0.01314007256711619), np.float64(0.4808050295161189), np.float64(0.29583638334449236), np.float64(0.5627044569474788), np.float64(0.2867269604554873), np.float64(1.1213592868340778), np.float64(0.5346681717727393), np.float64(0.4827171560280089), np.float64(0.3856342580897807), np.float64(0.6546865652077789), np.float64(0.5593567709026914), np.float64(-0.2755697872062306), np.float64(-0.15478437110210547), np.float64(0.34862468266516916), np.float64(0.40350731364084175), np.float64(0.30751885545147656), np.float64(-0.2936560207432802), np.float64(-0.7979201837463841), np.float64(1.493107484510142), np.float64(-0.1013891794220487), np.float64(0.8352954168211031), np.float64(0.2458465147830976)]","[1, 1, 1, 1, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[5.23797915 1.07688963 4.83663199 1.30359422 2.31873668 1.08223162
 3.3291643  0.88959699 0.53022554 1.31035992 5.93618392 1.20723707
 4.25993413 2.20465863 0.49775305 0.13380691 2.19107316 2.96072961
 1.33974089 1.12983637]",0.926604815407029,1.0
40,40,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<Dv[,3.336347341537476,50,"[np.float64(0.9262544033234822), np.float64(-0.2108464188726647), np.float64(-0.6078635522171835), np.float64(-0.18871512594055978), np.float64(0.1760397080373673), np.float64(0.9056206177660383), np.float64(0.08140572587047949), np.float64(0.5066872155439794), np.float64(-0.3328201356507314), np.float64(-0.0674624736404272), np.float64(1.1529239334272081), np.float64(0.45554260413137243), np.float64(0.29315675418065873), np.float64(-0.2741139524768072), np.float64(0.6680409335910049), np.float64(0.1437696275730998), np.float64(0.4725730740919754), np.float64(-0.7553622725746039), np.float64(0.42793900887608605), np.float64(-0.2622319863007119), np.float64(1.3031487177569379), np.float64(0.28853177856884), np.float64(0.7183320236437063), np.float64(0.7503212577604733), np.float64(-0.28498359055529604), np.float64(0.26022988852688117), np.float64(-0.23597665864683257), np.float64(1.5173986148923941), np.float64(0.5374565177935386), np.float64(1.9091661924102596), np.float64(0.39858015108758527), np.float64(0.9942901240104459), np.float64(0.8449445060611416), np.float64(-0.17140807142628228), np.float64(0.11751737337294096), np.float64(-0.19501288095923724), np.float64(0.685087682669259), np.float64(-0.24273020424718714), np.float64(0.77255375202119), np.float64(-0.021185737873739417), np.float64(-0.24890646043157516), np.float64(-0.10429194811747255), np.float64(2.6137621451099853), np.float64(1.244467742190305), np.float64(2.5417422433092214), np.float64(-0.5123606815407746), np.float64(-0.6719470555903695), np.float64(1.3734526862835996), np.float64(-0.7341856789609223), np.float64(1.1833428825871464)]","[1, 1, 0, 0, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[1.38191536 0.97449395 6.2545759  1.22582349 5.72822247 1.44924265
 5.08951964 3.06152956 2.63971252 0.0374929  1.29709782 2.62218736
 3.6207801  1.03062483 0.54772015 1.49018848 0.3122092  2.57586544
 4.58310102 3.10957727]",0.5317266829881342,1.0
41,41,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<Dv[,1.0046088695526123,50,"[np.float64(0.5179510547000559), np.float64(-0.1476251654590729), np.float64(0.4448053986150721), np.float64(-0.15676150108050368), np.float64(-0.2747967237642828), np.float64(0.249544573926419), np.float64(0.7349683698746602), np.float64(1.3976773712115036), np.float64(1.9406183497118485), np.float64(1.1326184303113604), np.float64(0.6839964890479865), np.float64(-0.053565754865254014), np.float64(0.30009514267738857), np.float64(0.12906076564540508), np.float64(-0.10075020406694088), np.float64(-0.45983831060138014), np.float64(0.8757407088973586), np.float64(0.292118077984135), np.float64(0.45329461838614254), np.float64(0.22289203761514004), np.float64(0.6970123395754965), np.float64(-0.12023098072545776), np.float64(-0.10381771388856252), np.float64(1.2183578900138237), np.float64(0.3759631625015094), np.float64(-1.3232773218025935), np.float64(1.4651033531712798), np.float64(-0.15053748781642373), np.float64(-0.137327927007532), np.float64(0.3132700954852826), np.float64(0.32170911885720177), np.float64(0.25596234700117515), np.float64(0.10018699403332973), np.float64(-0.09187433628766149), np.float64(-0.10916160454327983), np.float64(-0.19467265361325575), np.float64(-0.6091162859570052), np.float64(1.1678292480878332), np.float64(0.2731021326268739), np.float64(-0.921812996429852), np.float64(0.8475103785224372), np.float64(0.8888321000968626), np.float64(0.40349214973384534), np.float64(0.0034945992938746097), np.float64(-0.9246435915241347), np.float64(1.4149116259928864), np.float64(-0.31534871152717003), np.float64(-0.17842279787756576), np.float64(0.5643228815516415), np.float64(-0.7290713576967356)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[1.97611245 1.15707345 5.76950743 1.92330338],0.6935232926836574,1.0
42,42,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<Dv[,3.709839344024658,50,"[np.float64(-0.3099467516109548), np.float64(-0.005971361629503888), np.float64(1.0243131297769885), np.float64(0.5036200512144703), np.float64(0.21148274058606076), np.float64(0.5872280330860503), np.float64(0.4199205569847979), np.float64(1.2661792844722897), np.float64(-0.0011742884595955239), np.float64(-0.6831767203428467), np.float64(0.06439900753055511), np.float64(0.0024463105333783278), np.float64(-0.40209880759843986), np.float64(1.9151403847095136), np.float64(-0.4268447989958813), np.float64(0.8106738319211225), np.float64(0.9969562286159606), np.float64(-0.41240616989344486), np.float64(-0.7545542425396852), np.float64(0.7365500782774215), np.float64(0.7498301760533249), np.float64(-0.6392468984006131), np.float64(0.26642429500013365), np.float64(1.6102982982970673), np.float64(2.301684067797557), np.float64(0.8692979333871762), np.float64(1.1834852466944017), np.float64(1.0107733169187063), np.float64(-1.158938943324039), np.float64(1.870672273976097), np.float64(-0.3830432802492516), np.float64(-0.7634843020622886), np.float64(-0.09551525371088376), np.float64(-0.8853949181247037), np.float64(-0.4360423776678597), np.float64(0.9686952127004618), np.float64(0.1734328257182926), np.float64(-0.48872445547354587), np.float64(-0.6060978283461795), np.float64(0.28290872354591023), np.float64(0.14197965172797702), np.float64(-1.1452774855625099), np.float64(0.9965948504721484), np.float64(-0.6145339067599963), np.float64(-0.3039054203966832), np.float64(1.0395805386771257), np.float64(1.0812005222913377), np.float64(-0.2460486877592856), np.float64(1.0526564626397699), np.float64(0.07892687355068971)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[0.8159785  1.13063682 2.60540392 0.03687289 3.90576911 3.10850358
 0.21537256 2.81797007 5.43102511 3.12936839 4.06250908 0.03978234
 2.41022349 0.04602479 2.8757805  0.15069459 5.87821533 1.14783383
 4.62641369 1.16270669]",0.4876397748521566,1.0
43,43,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DbS,3.189331531524658,50,"[np.float64(-0.08234164233473583), np.float64(0.20718247246938915), np.float64(0.5452472524712154), np.float64(-0.14764471491195233), np.float64(0.3517440628124798), np.float64(-0.21752856349912503), np.float64(0.4975667928977091), np.float64(0.20941800907028024), np.float64(-0.27826729869986794), np.float64(0.8094808687337385), np.float64(-0.30426777643730774), np.float64(0.8177388669857525), np.float64(0.20958549962111023), np.float64(0.4461459307304276), np.float64(0.008871317396112244), np.float64(-0.4623278133521351), np.float64(0.3217844938357072), np.float64(-0.6022463993074976), np.float64(0.27947651125829487), np.float64(0.2887338735804969), np.float64(0.10157981312773612), np.float64(0.40422382221586406), np.float64(0.42147906961258264), np.float64(0.07583797454107638), np.float64(-0.4279877840206292), np.float64(-0.18316651424395472), np.float64(0.01941860648674005), np.float64(0.3244923935806988), np.float64(0.49857070992437585), np.float64(-0.10634465558479195), np.float64(-0.2827214066034834), np.float64(-0.8933348535313617), np.float64(0.5987339448617969), np.float64(0.2284356632425949), np.float64(0.2280359890829737), np.float64(-0.048694042761034784), np.float64(0.20367735712568896), np.float64(0.07967123392204989), np.float64(0.5893958742029306), np.float64(-0.4132961290674694), np.float64(0.7705784998554084), np.float64(-0.2185733306009047), np.float64(0.33156948516089657), np.float64(-0.19344205929841857), np.float64(0.05317516231746036), np.float64(-0.034067255704970545), np.float64(0.3445400391059771), np.float64(0.6388723251495622), np.float64(0.1313354438045762), np.float64(-0.3389531328090324)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.69282635 1.25083777 0.38822778 1.50178207 4.65776442 0.07259353
 4.2105137  0.7476499  2.70700474 0.05397186 4.34629984 1.1909579
 3.42175313 0.90713057 1.95441216 1.51536021 1.45315307 0.6143657
 3.95309343 0.23734095]",0.5503823449009548,1.0
44,44,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,0.8706350326538086,50,"[np.float64(1.0174952277262181), np.float64(-0.11359466320028334), np.float64(-0.12745688799581883), np.float64(0.10623049229904188), np.float64(0.7988815896316634), np.float64(0.20802932889531872), np.float64(0.47153710174537067), np.float64(-0.028950749430474418), np.float64(-0.7551461136719262), np.float64(-0.12408131948830414), np.float64(-0.10864736900964163), np.float64(0.17450586687078612), np.float64(0.11068521643173797), np.float64(-0.37419244383093214), np.float64(0.3109985526664001), np.float64(0.4137666162494308), np.float64(-0.5762922259843768), np.float64(1.370776894979608), np.float64(-0.37011592945137595), np.float64(0.18969039931340448), np.float64(0.39836077866164926), np.float64(0.48052922253522745), np.float64(-0.6849328477946196), np.float64(-0.08893300678809467), np.float64(0.5400724543264763), np.float64(-0.5961229813381353), np.float64(-0.5371062751767489), np.float64(0.2732048725756748), np.float64(0.13745926540677486), np.float64(-0.47308503448420014), np.float64(0.4001179347655877), np.float64(0.2576018831583408), np.float64(-1.0033880378238513), np.float64(0.4071477508422875), np.float64(0.43594356643523474), np.float64(-0.260659825967538), np.float64(-0.0103947317755438), np.float64(-0.7731332904013315), np.float64(-0.07777736036980039), np.float64(1.2470043052304551), np.float64(-0.0028290684922669673), np.float64(-0.5691726976852761), np.float64(-0.8411926717184894), np.float64(-0.259313064375381), np.float64(-0.5775263727579703), np.float64(-0.12036025250080076), np.float64(-0.9215955696367214), np.float64(0.2547818423779605), np.float64(-0.29409906576492445), np.float64(1.6584182786008546)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[3.75930463 1.86480206 3.62285511 2.40225252],0.6540994157577699,1.0
45,45,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.6800377368927002,50,"[np.float64(0.31621144722630623), np.float64(0.10306327342133158), np.float64(0.49222687148652294), np.float64(-0.0001579126446545412), np.float64(0.44267396244684815), np.float64(-0.4458309832427791), np.float64(0.6656885168718826), np.float64(1.1757827011184565), np.float64(0.5925550203957691), np.float64(0.06373121744499358), np.float64(0.3393176699372569), np.float64(1.9288191324442028), np.float64(1.5709630384028066), np.float64(1.2193493151506156), np.float64(0.08856340796479588), np.float64(1.2001009200903474), np.float64(0.5838688651141022), np.float64(0.44389837164350565), np.float64(0.6138030758497415), np.float64(1.1724099264674048), np.float64(-0.19017803318547236), np.float64(1.589345711884623), np.float64(-0.8381825149812006), np.float64(1.4111277591267033), np.float64(-0.8422027007389309), np.float64(1.6375410753974995), np.float64(0.894395620040082), np.float64(0.1012056274978055), np.float64(-0.12110119362361023), np.float64(-0.5462898626361627), np.float64(1.1954552598537884), np.float64(0.4846901796218012), np.float64(1.0126035032980505), np.float64(0.3159134426026894), np.float64(0.2646443399950087), np.float64(0.9318445196941685), np.float64(-0.29247140745614747), np.float64(1.4161439035354042), np.float64(-0.06919211998112729), np.float64(-0.3985075032771085), np.float64(0.7797934725525031), np.float64(1.7803543754968225), np.float64(0.9934212879750378), np.float64(1.604044046781215), np.float64(1.2893511570441263), np.float64(1.3326583560874807), np.float64(0.7550140564200942), np.float64(-0.39032188181353633), np.float64(-0.7418618730378895), np.float64(1.2402190806340332)]","[1, 0, 1, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[4.44766563 1.85468719 0.10046048 2.23816767],0.932061380369888,1.0
46,46,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DbS,3.2526252269744877,50,"[np.float64(0.08885147369508056), np.float64(0.04945464737984649), np.float64(0.2891617671499346), np.float64(1.189449466433453), np.float64(0.15255712853229694), np.float64(1.1755109461731563), np.float64(0.1770764588311094), np.float64(0.3075636493604816), np.float64(0.3470794873771252), np.float64(-0.4945651281548111), np.float64(-0.074548792999942), np.float64(-0.5591335651654328), np.float64(0.05799121926957371), np.float64(0.08955288183689507), np.float64(0.2790346316346162), np.float64(0.6520965381929941), np.float64(0.7315620062887785), np.float64(-0.0679524283818114), np.float64(0.4902753371357738), np.float64(0.3564993822023247), np.float64(-0.7056500485801283), np.float64(0.02029590194475603), np.float64(-0.15779646017879792), np.float64(-0.0785019912777653), np.float64(0.4260326474169228), np.float64(0.18781197624231627), np.float64(-0.32971406590652186), np.float64(-0.20070347393488974), np.float64(-0.03296235591070659), np.float64(0.12166601771049917), np.float64(0.09784110961415449), np.float64(0.04411832043739328), np.float64(-0.007242985668651697), np.float64(-0.08277991554508192), np.float64(-0.14216811855135914), np.float64(0.6335919206760021), np.float64(0.024355687987336793), np.float64(0.6375882465398917), np.float64(0.6121662390181033), np.float64(-0.24920888536074096), np.float64(0.20957727566209397), np.float64(0.17030973060915935), np.float64(-0.6872903416884536), np.float64(0.4215898907886643), np.float64(0.43852005011528294), np.float64(-0.4118651977234314), np.float64(-0.006758160001715363), np.float64(0.5963110429992866), np.float64(-0.22320300419907707), np.float64(0.46009938483306967)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.89076388 0.006567   3.48027357 1.49794258 3.78813044 1.02610137
 4.13527189 0.17919306 0.83544147 1.73763753 3.88784187 1.24147926
 3.78487983 2.01028031 2.14918149 1.40638233 2.60949519 2.2823494
 6.21390158 1.36108067]",0.574891994236312,1.0
47,47,gaussian,RI,vanilla,False,statevector,10,2,5000,1e-08,False,5,>>graph6<<DxK,3.689650058746338,50,"[np.float64(0.9173683175427602), np.float64(-0.45804531513697694), np.float64(0.8643811461347167), np.float64(0.9322017363584018), np.float64(0.21142632382007148), np.float64(-0.4171907830650877), np.float64(0.5912954050740769), np.float64(0.35286836720685666), np.float64(0.9367841891143964), np.float64(0.7742159772486888), np.float64(0.4798209325250496), np.float64(-0.505909074493599), np.float64(0.888935013049172), np.float64(1.226146553802262), np.float64(0.7409293365097808), np.float64(-0.19002166007523236), np.float64(0.7116464587260263), np.float64(0.5400995115100762), np.float64(0.15597803124436166), np.float64(-0.6373099274276931), np.float64(0.6928015793500573), np.float64(0.7534492653033714), np.float64(0.5271852085984955), np.float64(0.6062855664259997), np.float64(0.712875225251), np.float64(0.30725309570873804), np.float64(0.5354915605291706), np.float64(0.41558805322590275), np.float64(0.7437205216466101), np.float64(-0.042663769385714034), np.float64(-0.7386751694927818), np.float64(1.2899076494042774), np.float64(-0.033762612811435194), np.float64(-0.28181904564101035), np.float64(-0.5967025645468772), np.float64(0.19830207595847296), np.float64(0.8824844078627683), np.float64(-0.4195223650117763), np.float64(-0.036011450959998664), np.float64(1.0698384925266378), np.float64(-0.28832432277547854), np.float64(1.1904203305170318), np.float64(1.2074713115792526), np.float64(-0.10619183638543045), np.float64(0.22878097783481957), np.float64(-0.5866568434007594), np.float64(-0.5627695029409245), np.float64(-0.5050896327191449), np.float64(-0.021867277577516664), np.float64(0.3083182858723814)]","[1, 1, 1, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[2.7565466  1.86996693 5.28815222 1.26920619 0.20600436 2.66458352
 3.70074378 2.79343251 5.48511049 0.08557652 1.08077613 2.23493811
 4.93048632 2.36870183 6.04833204 2.23161547 1.57308998 0.02124284
 5.18989691 1.55350803]",0.9140713735320876,1.0
48,48,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DbS,1.047945261001587,50,"[np.float64(0.3264463506722367), np.float64(-0.560236199120771), np.float64(0.05523635791049161), np.float64(-0.17885995638294883), np.float64(0.16086727965345787), np.float64(0.969916515465489), np.float64(-0.4545605478184747), np.float64(-0.8794161105426209), np.float64(0.23931746433122542), np.float64(-0.5221070195421033), np.float64(-0.04856988147916849), np.float64(0.4895350215655887), np.float64(0.4089153026609643), np.float64(0.640561751586535), np.float64(0.9432213036511761), np.float64(-0.06550703133476361), np.float64(0.08471875480770796), np.float64(0.07604536274983531), np.float64(0.5678855619221908), np.float64(-0.3118689033165755), np.float64(-0.6140178010206004), np.float64(0.9848684116699826), np.float64(0.20006279578484756), np.float64(-0.7130121655956079), np.float64(0.5330824086002626), np.float64(-0.7137074495988514), np.float64(-0.03986946155412614), np.float64(0.40471034781063764), np.float64(0.2685857667957938), np.float64(-0.21529535721973206), np.float64(-0.4991302053568541), np.float64(-0.11798391624790641), np.float64(-0.8610730046208817), np.float64(0.2598730871737196), np.float64(-0.6484666815841194), np.float64(-0.15502286676101024), np.float64(0.2790579794620855), np.float64(0.38163748607409054), np.float64(0.27623693667161664), np.float64(-0.330058649585389), np.float64(0.5516320091320158), np.float64(-0.3534973233166222), np.float64(0.19775642611820737), np.float64(-0.1092148877445818), np.float64(0.14566991266814547), np.float64(-0.4638414294013574), np.float64(0.6184573013133574), np.float64(0.7452175737190305), np.float64(0.5988660927018554), np.float64(-0.5370422367200284)]","[1, 0, 0, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[5.70401007 1.78781761 2.53209427 0.76167597],0.5940442025359172,1.0
49,49,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<DxK,0.715008020401001,50,"[np.float64(0.8332962779308668), np.float64(1.7321239668296091), np.float64(1.4357554840233249), np.float64(0.15388848841013342), np.float64(-0.68428510384669), np.float64(1.040862412486594), np.float64(-0.7859375975851506), np.float64(1.0202338709748886), np.float64(0.34501792050236135), np.float64(0.47181199497289084), np.float64(-0.3966822292940081), np.float64(1.585974012815183), np.float64(-0.7863656454385091), np.float64(-0.5948067355776625), np.float64(0.22887116927747597), np.float64(0.9426409762875169), np.float64(0.3274503434849807), np.float64(-0.6899157229426827), np.float64(0.5775662724671025), np.float64(0.19870139488895144), np.float64(-0.6222280886938027), np.float64(-0.5316224146288973), np.float64(-0.48157484046398535), np.float64(1.1773309060387371), np.float64(1.4560986720698095), np.float64(1.1662807888996085), np.float64(0.8949338696654674), np.float64(0.8919710845734734), np.float64(0.0774026149624242), np.float64(-0.6760828222469253), np.float64(0.6981901374538114), np.float64(0.915236197228957), np.float64(0.7370803593220147), np.float64(-0.8639058182952732), np.float64(0.44911910216121653), np.float64(0.6528716677553738), np.float64(1.0251465422823105), np.float64(1.5253168883531765), np.float64(-0.42343501014268975), np.float64(1.5796189533735905), np.float64(0.9396872743940257), np.float64(-0.10148971781411752), np.float64(0.5325457290964015), np.float64(0.11125008402494696), np.float64(0.4478547770037009), np.float64(1.0372737655382593), np.float64(1.162377803758884), np.float64(1.4865687311403193), np.float64(0.9849083392006284), np.float64(0.47361108693080156)]","[1, 0, 1, 0, 0]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[1.38828555 3.0818912  0.66964002 2.99009997],0.9403922215356332,1.0
50,50,gaussian,RI,vanilla,False,statevector,2,2,5000,1e-08,False,5,>>graph6<<Dv[,0.6285028457641602,50,"[np.float64(0.11620037128640327), np.float64(-0.6809299200051069), np.float64(-0.3453913767724001), np.float64(-0.007319830966856512), np.float64(0.14779112151265184), np.float64(-0.13838498206726113), np.float64(0.37582892722769984), np.float64(-0.48060764109962256), np.float64(0.1731452423349094), np.float64(0.2972425722134826), np.float64(-0.04034792987865876), np.float64(0.2582503820389594), np.float64(0.2890265745737329), np.float64(0.10166788783183518), np.float64(0.21938600824940024), np.float64(-0.49345209030133824), np.float64(-0.019347216377545842), np.float64(1.7534760690358548), np.float64(2.1720997673657525), np.float64(-0.7549616185703689), np.float64(0.4040007542833114), np.float64(0.4783630851522673), np.float64(0.09144321522166242), np.float64(-0.3367660506252833), np.float64(-0.7318050958854809), np.float64(0.657481404947546), np.float64(-0.9562490836717471), np.float64(1.0353001578920955), np.float64(-0.8078458154478385), np.float64(0.20209182336035247), np.float64(-0.40183068408312944), np.float64(-0.28307167401859595), np.float64(-0.07490110618363771), np.float64(0.20598183879451973), np.float64(0.30894784142032594), np.float64(0.9299566375234818), np.float64(-0.08702429751500579), np.float64(0.21350595721512006), np.float64(0.40970441246584527), np.float64(0.3690204800681647), np.float64(-0.5292839313619211), np.float64(1.043638388874019), np.float64(-0.28485091365033394), np.float64(-0.02472994037848439), np.float64(0.5259892020219674), np.float64(-0.44710653027235436), np.float64(-0.16913612644036624), np.float64(-0.685925565215098), np.float64(1.6358571735982346), np.float64(-0.4050724166146925)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[0.41157545 1.72420687 3.2840873  2.56795188],0.3565171992124084,1.0
